,depth_in_subtree,height_in_subtree,idea,idea_label,idea_probability,is_leaf,is_root,num_children,num_ideas_under,num_instances,num_instances_under,num_nodes_under,num_workers,parent,question_code,subtree_probability,subtree_root,subtree_oscore,idea_oscore
1268,2,1,1128460,,0.000501002004008016,True,False,0,1,1,1,1,1,1128459,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1269,2,1,1128461,,0.000501002004008016,True,False,0,1,1,1,1,1,1128459,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1270,1,2,1128462,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1271,1,2,1128463,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1272,1,2,1128464,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1273,1,2,1128465,,0.000501002004008016,False,False,2,1,1,3,3,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1274,2,1,1128466,,0.000501002004008016,True,False,0,1,1,1,1,1,1128465,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1275,2,1,1128467,,0.000501002004008016,True,False,0,1,1,1,1,1,1128465,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1276,1,2,1128468,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1277,3,0,1128471,,0.000501002004008016,True,False,0,1,1,1,1,1,1128470,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1278,3,0,1128472,,0.000501002004008016,True,False,0,1,1,1,1,1,1128470,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1279,3,0,1128474,,0.000501002004008016,True,False,0,1,1,1,1,1,1128473,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1280,3,0,1128475,,0.000501002004008016,True,False,0,1,1,1,1,1,1128473,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1281,1,2,1128476,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1282,1,2,1128477,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1283,1,2,1128478,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1284,1,2,1128479,,0.001503006012024048,False,False,14,3,3,21,16,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.998496993987976
1285,2,1,1128480,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1286,2,1,1128481,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1287,2,1,1128482,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1288,2,1,1128483,,0.000501002004008016,False,False,1,1,1,2,2,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1289,3,0,1128484,,0.000501002004008016,True,False,0,1,1,1,1,1,1128483,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1290,2,1,1128485,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1291,2,1,1128486,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1292,2,1,1128487,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1293,2,1,1128488,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1294,2,1,1128489,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1295,2,1,1128490,,0.001002004008016032,True,False,0,2,2,2,1,2,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.998997995991984
1296,2,1,1128491,,0.001503006012024048,True,False,0,3,3,3,1,3,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.998496993987976
1297,2,1,1128492,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1298,2,1,1128493,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1299,2,1,1128494,,0.000501002004008016,True,False,0,1,1,1,1,1,1128479,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1300,1,2,1128495,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1301,1,2,1128496,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1302,1,2,1128497,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1303,1,2,1128498,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1304,1,2,1128499,,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1305,2,1,1128501,,0.000501002004008016,False,False,1,1,1,2,2,1,1128500,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1306,3,0,1128502,,0.000501002004008016,True,False,0,1,1,1,1,1,1128501,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1307,2,1,1128503,,0.000501002004008016,True,False,0,1,1,1,1,1,1128500,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1308,2,1,1128504,,0.000501002004008016,True,False,0,1,1,1,1,1,1128500,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1309,1,2,1128505,Trick or Treat,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1310,1,2,1128506,Workshops,0.000501002004008016,True,False,0,1,1,1,1,1,1128411,charity,0.04609218436873747,1128411,0.9539078156312625,0.999498997995992
1311,0,1,1128507,Holiday Create a EFF one,0.000501002004008016,False,True,1,1,1,2,2,1,-1,charity,0.001002004008016032,1128507,0.998997995991984,0.999498997995992
1312,1,0,1128508,,0.000501002004008016,True,False,0,1,1,1,1,1,1128507,charity,0.001002004008016032,1128507,0.998997995991984,0.999498997995992
1313,0,0,1128509,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128509,0.999498997995992,0.999498997995992
1314,0,0,1128510,,0.000501002004008016,True,True,0,1,1,1,1,1,-1,charity,0.000501002004008016,1128510,0.999498997995992,0.999498997995992
1315,1,1,1128512,murder,0.001002004008016032,True,False,0,2,2,2,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.998997995991984
1316,1,1,1128513,,0.000501002004008016,True,False,0,1,1,1,1,1,1128511,charity,0.008016032064128256,1128511,0.9919839679358717,0.999498997995992
